공연명,공연장소,공연시작일,공연종료일,위도,경도,주소,이미지,예매링크
영등포아트홀 기획공연 ［브로콜리너마저］,영등포아트홀,2025-09-26,2025-09-26,37.5262029,126.9001183,서울 영등포구 당산동3가 3,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006184_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006184
예지(YAEJI) 내한공연,블루스퀘어 SOL트래블홀,2025-08-25,2025-08-25,37.54061157,127.0026398,서울 용산구 한남동 727-56,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009837_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009837
오담률 단독콘서트 ＇팡팡 노래방＇,리엠아트센터,2025-07-26,2025-07-26,37.50796592,127.02361,서울 강남구 논현동 164-14,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009784_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009784
이은결 BEYOND MAGIC,소태산홀,2025-08-07,2025-08-07,37.50976025,126.9638519,서울 동작구 흑석동 1-3,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010342_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010342
이짜나 언짜나의 ［불면증 파티］,스페이스브릭,2025-08-16,2025-08-16,37.55120437,126.9196967,서울 마포구 서교동 395-15,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009948_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009948
임세모 단독 공연〈이게 사람 사는 날씨냐〉- 서울,벨로주 홍대,2025-07-27,2025-07-27,37.55243093,126.9188172,서울 마포구 서교동 372-6,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008266_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008266
자하리 스탬플리 첫 내한공연,서보미술문화공간 서울,2025-08-16,2025-08-16,37.56206823,126.9153117,서울 마포구 성산동 114-7,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009238_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009238
제이크 밀러 첫 단독 내한공연 JAKE MILLER BALANCE TOUR 2025,무신사 개러지,2025-09-27,2025-09-27,37.5515747,126.919728,서울 마포구 서교동 368-22,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009244_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009244
제이통 on Sync Next 25,세종문화회관 S씨어터,2025-08-08,2025-08-09,37.5727755,126.9751595,서울 종로구 세종로 81-7,http://ticketimage.interpark.com/rz/image/play/goods/poster/P0/P0004238_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=P0004238
조하린 서현석의 뮤지컬 갈라 콘서트 〈어쩌다 보니〉,언더노트,2025-08-02,2025-08-02,37.571698,126.976399,서울 종로구 세종대로 169,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009944_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009944
