보관함역,위도,경도,주소,상세위치
경복궁역,37.57580612,126.9736914,서울 종로구 적선동 81-1,7번 출입구 주변 계단 밑
경복궁역,37.57580612,126.9736914,서울 종로구 적선동 81-1,7번출구 지하2층 고객안전실 옆
경복궁역,37.57580612,126.9736914,서울 종로구 적선동 81-1,7번 출입구 주변 계단 밑
안국역,37.57650192,126.9854214,서울 종로구 안국동 73-1,B2층 게이트 주변
안국역,37.57650192,126.9854214,서울 종로구 안국동 73-1,B2층 게이트 주변
종로3가역,37.57042084,126.9921533,서울 종로구 종로3가 10-5,2-1번 출입구 게이트 내부
을지로3가역,37.5662915,126.9909844,서울 중구 을지로3가 347-3,9번 출입구 게이트 주변
동대입구역,37.55905582,127.005316,서울 중구 장충동2가 199-3,"1,2번 출입구와 3,4번 출입구 사이 통로"
약수역,37.5545054,127.0108917,서울 중구 신당동 369-44,"4,5번 출입구 게이트 내부"
금호역,37.54826092,127.0158292,서울 성동구 금호동4가 1470,3번 출입구 주변
옥수역,37.54156628,127.0173938,서울 성동구 옥수동 168-1,"1,2번 출입구 방향 화장실 주변"
압구정역,37.52649127,127.0285087,서울 강남구 신사동 668,6번 출입구 주변
압구정역,37.52649127,127.0285087,서울 강남구 신사동 668,4번 출입구 주변
신사역,37.51643598,127.0203086,서울 강남구 신사동 667,6번 출입구 게이트 주변
신사역,37.51643598,127.0203086,서울 강남구 신사동 667,"6, 7번 출입구 주변"
잠원역,37.51288992,127.0114195,서울 서초구 잠원동 100-1,1번 출입구 우측 게이트 주변
고속터미널역,37.50454886,127.005121,서울 서초구 반포동 19-11,1번 출입구 9호선 환승게이트 주변
고속터미널역,37.50454886,127.005121,서울 서초구 반포동 19-11,대합실 중앙지하  2층 대합실 상가(네이처리퍼블릭) 주변
교대역,37.49274317,127.013868,서울 서초구 서초동 1748-4,"지하 1층 12,13번 출입구 사이 화장실 주변"
남부터미널역,37.48519963,127.0162003,서울 서초구 서초동 1748-30,"지하2층5,6번 출입구 주변 계단 밑 "
양재역,37.48457681,127.0341641,서울 서초구 서초동 1366-9,"11,12번 출입구 주변 게이트 주변"
양재역,37.48457681,127.0341641,서울 서초구 서초동 1366-9,"3,4번 출입구 주변 편의점 주변"
매봉역,37.48693947,127.0467114,서울 강남구 도곡동 179-2,"1,2번 출입구 주변 화장실 주변"
도곡역,37.49097398,127.0554988,서울 강남구 도곡동 339-2,4번 출입구 주변 게이트 맞은편
대치역,37.49449665,127.0632034,서울 강남구 대치동 317-3,3번 출입구 주변 게이트 주변
학여울역,37.4968852,127.0711666,서울 강남구 대치동 514-3,1번 출입구 주변 역무실 주변
대청역,37.49370832,127.0795281,서울 강남구 일원동 700-9,3번 출입구 주변 게이트 주변　
일원역,37.48398867,127.0841298,서울 강남구 일원동 717,4번 출입구에서 5번 출입구 가는 통로 내부
수서역,37.48549613,127.1043706,서울 강남구 수서동 214-16,3번 출입구 게이트 주변
가락시장역,37.49309925,127.1182627,서울 송파구 가락동 184-23,7번 출입구 화장실 주변
경찰병원역,37.49600492,127.1244824,서울 송파구 가락동 10-15,2번 출입구 화장실 주변
오금역,37.50213886,127.1279532,서울 송파구 오금동 44-2,2번 출입구 주변
당고개역,37.67021774,127.0790666,서울 노원구 상계동 111,지상2층 게이트 주변
상계역,37.66072054,127.0734216,서울 노원구 상계동 156-203,지상2층 복도사이
노원역,37.65634035,127.0634491,서울 노원구 상계동 602-5,지상2층 복도사이
창동역,37.65333851,127.047645,서울 도봉구 창동 135-1,2번 출입구 주변
쌍문역,37.64854261,127.0346561,서울 도봉구 창동 703-4,1번 출입구 주변
수유역,37.63788539,127.0255091,서울 강북구 수유동 140,"5,6번 출입구 주변"
미아역,37.62665449,127.0260411,서울 강북구 미아동 194-1,"3,4,5,6번 출입구 게이트 주변"
미아사거리역,37.61327836,127.0300866,서울 강북구 미아동 66-1,롯데몰  환승통로
미아사거리역,37.61327836,127.0300866,서울 강북구 미아동 66-1,5번 출입구 게이트주변
길음역,37.60339478,127.0250602,서울 성북구 길음동 877-66,10번 출입구 게이트주변
성신여대입구역,37.59296813,127.0171261,서울 성북구 동선동4가 1,우이신설  환승통로 주변 벽면
성신여대입구역,37.59296813,127.0171261,서울 성북구 동선동4가 1,7번 출입구 주변
한성대입구역,37.58842461,127.0060178,서울 성북구 삼선동1가 14,5번 출입구 게이트 주변
혜화역,37.58204392,127.001945,서울 종로구 명륜4가 96-5,지하 1층 화장실 주변
혜화역,37.58204392,127.001945,서울 종로구 명륜4가 96-5,4번 출입구 주변
혜화역,37.58204392,127.001945,서울 종로구 명륜4가 96-5,4번 출입구 주변
혜화역,37.58204392,127.001945,서울 종로구 명륜4가 96-5,4번 출입구 주변
동대문역,37.57166941,127.0106338,서울 종로구 창신동 492-1,8번 출입구 주변
동대문역,37.57166941,127.0106338,서울 종로구 창신동 492-1,9번 출입구 아이센터(i센터) 주변
동대문역사문화공원역,37.56566441,127.0090042,서울 중구 을지로7가 112-3,4호선 게이트 화장실 주변
충무로역,37.56139658,126.9941496,서울 중구 필동2가 16-2,"1,2,8번 출입구 주변"
충무로역,37.56139658,126.9941496,서울 중구 필동2가 16-2,"3,4번 출입구 주변"
명동역,37.56096527,126.9864024,서울 중구 충무로2가 109-2,1번 출입구 주변
명동역,37.56096527,126.9864024,서울 중구 충무로2가 109-2,4번 출입구 게이트 내부
명동역,37.56096527,126.9864024,서울 중구 충무로2가 109-2,4번 출입구 게이트 내부
명동역,37.56096527,126.9864024,서울 중구 충무로2가 109-2,4번 출입구 게이트 내부
회현역,37.55876115,126.9784373,서울 중구 남창동 64-1,"3,4,5번 출입구 게이트 내부 지하2층 상가 주변"
회현역,37.55876115,126.9784373,서울 중구 남창동 64-1,"1,2,6,7번 출입구 게이트 내부"
서울역,37.55406889,126.9707034,서울 중구 봉래동2가 122-11,"11,14번 출입구 주변"
숙대입구역,37.54459523,126.9721181,서울 용산구 갈월동 16-7,"5,6,7,8번 출입구 주변"
삼각지역,37.53443934,126.972923,서울 용산구 한강로1가 228-1,"1,2,5,6번 출입구 주변"
신용산역,37.52925915,126.967965,서울 용산구 한강로2가 181,"1,5,6번 출입구 게이트 주변"
이촌역,37.52241291,126.9735438,서울 용산구 이촌동 17-69,1번 출입구 게이트 주변
동작역,37.50274411,126.9785461,서울 동작구 동작동 326,1번 출입구 게이트 주변
총신대입구역,37.4867996,126.9822119,서울 동작구 사당동 736-1,2번 출입구 주변
총신대입구역,37.4867996,126.9822119,서울 동작구 사당동 736-1,14번 출입구 게이트 주변
사당역,37.47656223,126.9815586,서울 동작구 사당동 1129,"지하 1층 11,12번 출입구에서 3,4번 출입구 가는 통로"
사당역,37.47656223,126.9815586,서울 동작구 사당동 1129,지하 1층 12번 출입구 주변
남태령역,37.46424996,126.9890853,서울 서초구 방배동 2909,"지하 1층 1번 출입구에서 2,3번 출구 가는 통로"
방화역,37.5776032,126.8128193,서울 강서구 방화동 829-15,"방화역 B1층 3,4번 출구 방면"
개화산역,37.57253715,126.8068143,서울 강서구 방화동 846,개화산역 B1층 게이트 우측 E/V 옆(2번출구) 
김포공항역,37.56196757,126.8019136,서울 강서구 방화동 886,김포공항역 B2층 국내선 방면 무빙워크옆
송정역,37.56116124,126.8124303,서울 강서구 공항동 29-5,"송정역 B2층 1,4번 출구 사이"
마곡역,37.56022864,126.8246969,서울 강서구 마곡동 769-3,마곡역 B1층 환기실 우측(2번출구)
발산역,37.55867774,126.8377364,서울 강서구 마곡동 727-1496,발산역 B1층 9번 출구 방면
우장산역,37.54881619,126.8363263,서울 강서구 화곡동 1089-3,"우장산역 B1층 3,4번 출구 방면"
