공연명,공연장소,공연시작일,공연종료일,이미지,예매링크,위도,경도,주소
미피와 마법 우체통,인사센트럴뮤지엄,2024-11-21,2025-08-17,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25003435_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25003435,37.57437082,126.9835212,서울 종로구 관훈동 155-2
어린 왕자의 별 이야기,그라운드시소 명동,2025-07-01,2025-07-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008326_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008326,37.56423889,126.9819207,서울 중구 남대문로2가 130
어린 왕자의 별 이야기,그라운드시소 명동,2025-08-01,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009312_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009312,37.56423889,126.9819207,서울 중구 남대문로2가 130
더 글로리어스 월드,충무아트센터 갤러리,2025-04-22,2025-08-24,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25003813_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25003813,37.56594403,127.014787,서울 중구 흥인동 131
2025 딜라이트 서울,딜라이트 서울,2025-04-24,2025-11-15,http://ticketimage.interpark.com/rz/image/play/goods/poster/Y5/Y5000572_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=Y5000572,37.51538522,127.1093122,서울 송파구 방이동 36-5
옥승철: 프로토타입,롯데뮤지엄,2025-08-15,2025-09-30,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009261_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009261,37.51264051,127.1025624,서울 송파구 신천동 29
앨리스 달튼 브라운 회고전,더현대 서울 ALT. 1,2025-06-13,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006029_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006029,37.52593879,126.9285139,서울 영등포구 여의도동 22
모네에서 앤디워홀까지,세종문화회관 미술관,2025-05-16,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006373_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006373,37.57185309,126.9761831,서울 종로구 세종로 81-3
TV애니메이션 체인소 맨 展,덕스(DUEX) 홍대 2관,2025-07-19,2025-11-09,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25005922_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25005922,37.557938,126.925711,서울 마포구 양화로 186 LC TOWER B3
알렉스 키토 사진전,그라운드시소 이스트,2025-05-23,2025-07-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25004810_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25004810,37.53661002,127.0878457,서울 광진구 자양동 870
요시고 사진전 2,그라운드시소 센트럴,2025-06-06,2025-07-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006298_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006298,37.55783141,126.9743994,서울 중구 남대문로5가 831
이탈리아 국립 카포디몬테 미술관 컬렉션,마이아트뮤지엄,2025-08-01,2025-09-28,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008706_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008706,37.50758784,127.0605769,서울 강남구 대치동 944-31
조나단 베르탱 사진전,그라운드시소 이스트,2025-05-23,2025-07-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25005139_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25005139,37.53661002,127.0878457,서울 광진구 자양동 870
와인＆전통주 살롱,라움아트센터 2층 그라스가든,2025-08-01,2025-08-03,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010478_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010478,37.508312,127.039788,서울 강남구 언주로 564
호아킨 소로야: 댄싱 인 더 선라이트,그라운드시소 명동,2025-07-04,2025-09-30,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008144_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008144,37.56423889,126.9819207,서울 중구 남대문로2가 130
현대카드 컬처프로젝트 29 톰 삭스 전,동대문디자인플라자 뮤지엄,2025-04-25,2025-07-25,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25002387_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25002387,37.56602385,127.009723,서울 중구 을지로7가 143
앨리스 달튼 브라운 회고전,더현대 서울 ALT. 1,2025-06-13,2025-09-20,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008420_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008420,37.52593879,126.9285139,서울 영등포구 여의도동 22
요시고 사진전 2,그라운드시소 센트럴,2025-08-01,2025-09-30,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007774_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007774,37.55783141,126.9743994,서울 중구 남대문로5가 831
호아킨 소로야: 댄싱 인 더 선라이트,그라운드시소 명동,2025-07-04,2025-09-30,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009427_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009427,37.56423889,126.9819207,서울 중구 남대문로2가 130
위대한 축구선수 100인 전,롯데몰 김포공항점 1층 전시홀,2025-04-30,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25005652_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25005652,37.563364,126.803148,서울 강서구 하늘길 38
지구를 지키는 사진가,충무아트센터 갤러리,2025-07-19,2025-08-16,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009866_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009866,37.56594403,127.014787,서울 중구 흥인동 131
Future Ground - 김포공항,롯데몰 김포공항점 1층 전시홀,2025-05-30,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008039_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008039,37.563364,126.803148,서울 강서구 하늘길 38
"〈책 먹는 여우, 도서관을 삼키다〉 - 금천",금나래갤러리,2025-07-09,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008439_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008439,37.45706511,126.8960306,서울 금천구 시흥동 1020
1101 어린이라운지 이용권,예술의전당 1101 어린이라운지,2020-01-11,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/19/19018891_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=19018891,37.48018948,127.0133919,서울 서초구 서초동 700
2002 한일 월드컵 20주년 기념 특별전,풋볼 팬타지움 (2002 FIFA 월드컵 기념관),2022-06-01,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/22/22006119_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22006119,37.56826703,126.896071,서울 마포구 성산동 516
경복궁의 인문학산책,경복궁,2018-06-23,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/18/18008401_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18008401,37.57761329,126.9768979,서울 종로구 세종로 1-1
경희궁 인문학산책,경희궁,2024-04-16,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/24/24005471_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=24005471,37.57078815,126.9686491,서울 종로구 신문로2가 2-1
고양이 뉴욕에 가다,후지시로 세이지 북촌스페이스,2025-07-01,2025-07-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009506_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009506,37.58136926,126.9868572,서울 종로구 계동 133-5
괴짜전 2025,K현대미술관,2025-09-13,2025-10-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009462_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009462,37.52434988,127.0391332,서울 강남구 신사동 666-7
"국가대표궁궐, 경복궁",경복궁,2020-04-10,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/20/20003418_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=20003418,37.57761329,126.9768979,서울 종로구 세종로 1-1
국립 고궁박물관 인문학산책,고궁박물관,2022-12-16,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/22/22017409_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22017409,37.57656321,126.9748345,서울 종로구 세종로 1-57
국립중앙박물관1 인문학산책,국립중앙박물관,2023-12-01,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/23/23017472_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23017472,37.52384681,126.980203,서울 용산구 용산동6가 168-6
국립중앙박물관2 인문학산책,국립중앙박물관,2023-12-06,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/23/23017278_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23017278,37.52384681,126.980203,서울 용산구 용산동6가 168-6
"궁궐야행, 덕수궁",덕수궁,2018-03-17,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/18/18003771_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18003771,37.56556387,126.9748948,서울 중구 정동 5-1
"궁궐야행, 창경궁",창경궁,2019-01-25,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/19/19000923_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=19000923,37.57941654,126.9951999,서울 종로구 와룡동 2-1
"낙산, 이화마을 야행",낙산공원,2018-07-20,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/18/18009373_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18009373,37.58056967,127.0075218,서울 종로구 동숭동 산 2-10
덕수궁의 인문학산책,덕수궁,2018-09-01,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/18/18011706_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18011706,37.56556387,126.9748948,서울 중구 정동 5-1
마르크 샤갈 특별전 : BEYOND TIME,예술의전당 한가람미술관 1층,2025-05-23,2025-09-21,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007137_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007137,37.48045337,127.0142818,서울 서초구 서초동 710-1
마르크 샤갈 특별전 도슨트,예술의전당 한가람미술관 1층,2025-05-23,2025-09-21,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25005590_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25005590,37.48045337,127.0142818,서울 서초구 서초동 710-1
